alle;et;to;tre;fire;fem;seks
110011132072-000002377;110011132072-000002377;2100112110920000000189;3605111110920000000004;420123104071-000000014;;6588381004000000002102
110011132078-000000962;110011132078-000000962;2100112110940000000126;3605111110940000000643;420123104079-000000080;;658838100409-000000857
110011132079-000008107;110011132079-000008107;210011211097-000000033;3605111310010000000136;420123105000-000033092;;6588381005000000000122
110011132091-000000135;110011132091-000000135;2100112310010000002797;3605111310290000001677;4201231050220000000002;;6588381005090000000122
1100111320920000003614;1100111320920000003614;2100112310080000000034;3605111310400000000061;4201231050270000000172;;6588381006000000143883
1100111320940000034611;1100111320940000034611;2100112310230000000001;3605111310490000000017;4201231050290000002889;;658838100609-000125181
1100111320970000009122;1100111320970000009122;2100112310270000000080;3605111310920000000001;4201231050400000000307;;6588381790000000019056
110011141000-000382754;110011141000-000382754;2100112310290000003651;3605111320230000000054;4201231050490000034295;;6588381790090000019056
1100111410010002330830;1100111410010002330830;2100112310400000000108;3605111320290000000437;4201231050940000002069;;6588382002000000000863
1100111410020000002444;1100111410020000002444;2100112310490000000010;3605111320400000002269;4201231999000000007383;;658838200209-000000631
1100111410050000004266;1100111410050000004266;2100112310920000000028;3605111320450000000119;4201231999270000000413;;6588382004000000003798
110011141006-000021329;110011141006-000021329;2100112310940000000050;3605111320490000000249;4201231999290000000023;;6588382004090000000001
110011141008-000135391;110011141008-000135391;2100112320010000000343;360511132079-000000005;4201231999400000000533;;6588480001000001411790
1100111410230000000002;1100111410230000000002;210011232006-000000003;3605111320940000000045;4201231999490000000052;;6588480001600000102000
1100111410270000000322;1100111410270000000322;2100112320230000000590;3605111410290000000002;4201310010910000000406;;658848000300-000128379
1100111410290000119685;1100111410290000119685;2100112320290000001269;3605111410400000000053;4201310110220000000002;;6588480005000000000007
1100111410400000386653;1100111410400000386653;2100112320400000002817;3605111410450000000071;4201310110400000001846;;6588480006000000057425
1100111410450000793835;1100111410450000793835;2100112320450000002469;3605111410490000000067;4201310110490000021329;;6588480006600000015159
1100111410470000000468;1100111410470000000468;2100112320490000002054;3605111420230000000022;4201310110940000000111;;658848100100-000864267
1100111410490000639945;1100111410490000639945;2100112320600000000007;3605111710400000002096;4201311010030000000069;;6588481002000000003696
110011141071-000088003;110011141071-000088003;210011232079-000000318;3605111710490000000191;4201311010070000002637;;658848100300-000012041
110011141072-000007908;110011141072-000007908;2100112320940000000059;3605111790290000000002;4201311010100000342676;;658848100500-000000007
110011141077-000000229;110011141077-000000229;2100112320970000000069;3605111790400000000132;4201311010220000000608;;658848100600-000067177
110011141079-000049260;110011141079-000049260;2100112410010000003950;3605111790490000000010;4201311010290000000045;;6588481790000001974498
1100111410920000000003;1100111410920000000003;2100112410230000000001;360511179078-000000003;420131101040-000024530;;6588482003000000000105
1100111410940000035827;1100111410940000035827;2100112410290000001311;360511179079-000000183;4201311010490000028303;;6588482004000000000326
110011141097-000104450;110011141097-000104450;2100112410400000015581;360511184076-000001184;420131101072-000018876;;6588482790000000000933
1100111420010000001229;1100111420010000001229;2100112410450000002454;360511401040-000000002;420131101079-000001869;;6628580001000000006204
1100111420050000001840;1100111420050000001840;2100112410480000000259;3605114020400000000005;4201311010910000002949;;662858000109-000061123
1100111420080000008754;1100111420080000008754;2100112410490000005321;370631073005-000002381;4201311010940000001844;;6628580001600000042851
1100111420230000949389;1100111420230000949389;210011241071-000000274;3706310730910000010855;420131101097-000021177;;6628581001000000086094
1100111420290000000828;1100111420290000000828;210011241072-000000020;3706310730920000000709;4201311016100000000124;;662858100109-000047689
1100111420400000011267;1100111420400000011267;210011241079-000000225;3706310730940000037873;4201311016400000000006;;662858100309-000000055
1100111420470000000004;1100111420470000000004;2100112410940000000378;370631073097-000023457;4201311016490000000002;;6628581006000000030433
1100111420490000055507;1100111420490000055507;2100112420230000006719;3706311730050000003833;4201311020290000000494;;662858100609-000007192
1100111420520000000017;1100111420520000000017;2100112420290000000164;3706311730910000001663;4201311020400000001129;;6628582002000000006293
1100111420600000000001;1100111420600000000001;2100112420400000001036;3706311730940000061935;4201311020490000002849;;662858200209-000001364
110011142071-000002934;110011142071-000002934;2100112420470000000033;370633099900-000001137;420131102072-000000023;;665868000102-000001997
110011142072-000014825;110011142072-000014825;2100112420480000000047;3706330999920000000051;420131102079-000000422;;6658680001090000035033
110011142079-000010775;110011142079-000010775;2100112420490000001081;3706330999940000001043;4201311020940000000102;;6658680001600000046629
1100111420940000007902;1100111420940000007902;210011242079-000000148;3706331999050000003733;4201311030400000000263;;665868100100-000106054
110011142097-000005397;110011142097-000005397;2100112420940000000610;370633199997-000003733;4201311110220000000293;;6658681001090000207831
1100111710000000000200;1100111710000000000200;2100112710400000000023;3807011730940000003121;4201311110290000001354;;6658681001600000014937
1100111710400000192876;1100111710400000192876;210011271079-000000167;380701173097-000000151;420131111040-000009897;;6658681003600000000046
1100111710460000005144;1100111710460000005144;210011272059-000000167;390907079086-000385032;4201311110490000187946;;6658681005600000000006
1100111710490000004260;1100111710490000004260;2100112730920000000030;390907084086-000190524;4201311110520000000014;;6658681006600000000173
1100111710590000005842;1100111710590000005842;210011273097-000003368;390907184086-000994476;420131111072-000000136;;6658681790600000003418
110011171072-000011084;110011171072-000011084;2100112790010000000113;390907384086-000318492;420131111078-000000013;;6658682004600000000008
110011171079-001449266;110011171079-001449266;2100112790290000000377;390917083085-000079704;4201311110920000000034;;668878000300-000008908
110011171091-000000078;110011171091-000000078;2100112790400000000519;390917179085-000091200;4201311110940000006054;;6688781001000000006178
1100111710940000000223;1100111710940000000223;2100112790480000000237;390917183085-000340884;420131111097-000000002;;668878100300-000002347
110011171097-000010538;110011171097-000010538;2100112790600000000078;390917383085-000133404;4201311310010000017603;;6688781006000000001571
1100111720400000000015;1100111720400000000015;210011279078-000000401;;4201311310290000024861;;672909000109-000786568
110011172079-000020275;110011172079-000020275;210011279079-000000171;;4201311310400000000287;;672909000160-001515359
1100111730940000011299;1100111730940000011299;2100112790940000001909;;4201311310490000003209;;672909000360-000053174
110011173097-000960571;110011173097-000960571;210011279097-000001909;;420131131072-000000084;;672909000460-000007487
1100111790010000004745;1100111790010000004745;210011281078-000000803;;420131131079-000000006;;672909079009-000657190
1100111790020000002102;1100111790020000002102;2100112820220000005122;;420131131092-000005234;;6729090790400000000263
1100111790060000001769;1100111790060000001769;2100112820400000000559;;4201311310940000000001;;672909079060-000030358
110011179008-000000254;110011179008-000000254;210011282072-000006079;;420131131097-000009328;;672909100109-000832336
110011179010-000000863;110011179010-000000863;210011283077-000533595;;4201311320010000007241;;6729091001600000004583
1100111790220000000003;1100111790220000000003;210011284076-000000920;;4201311320290000044843;;672909100260-000005114
1100111790290000003701;1100111790290000003701;2100113810480000000244;;420131132040-000017617;;6729091003600000295027
1100111790400000379246;1100111790400000379246;210011383077-000682426;;4201311320450000000534;;672909100381-000053483
110011179045-000000024;110011179045-000000024;210011384076-000019182;;4201311320490000108301;;672909100460-000007961
1100111790470000000005;1100111790470000000005;2100114010400000001193;;420131132079-000040387;;6729091790090003918098
1100111790480000000097;1100111790480000000097;2100114020400000000285;;4201311320920000000025;;672909179060-000068250
1100111790490000009042;1100111790490000009042;2100114110400000004168;;420131132094-000023137;;672909179081-000018834
1100111790520000000011;1100111790520000000011;2100114320400000000006;;420131132097-000000284;;672909199960-000001857
110011179072-000312120;110011179072-000312120;2100130030040000000009;;4201311410010000000201;;675949079000-001687333
110011179076-000091153;110011179076-000091153;2100130040220000000019;;4201311410290000000002;;675949079009-000371004
110011179077-000006419;110011179077-000006419;2100130040290000000023;;4201311410400000000047;;6759491001090000038968
110011179078-000253779;110011179078-000253779;2100130040400000000170;;4201311410450000000050;;6759491003090000000057
110011179079-001020891;110011179079-001020891;2100130040450000023353;;4201311410490000000074;;675949179000-000829335
1100111790910000003590;1100111790910000003590;2100130040470000000012;;4201311410940000000052;;6759491790090000344435
1100111790920000001318;1100111790920000001318;2100130040490000002314;;4201311420230000007573;;6759492004090000000034
1100111790940000074980;1100111790940000074980;210013004072-000003098;;4201311420400000001878;;6759492790000000000099
110011179097-000284025;110011179097-000284025;2100130040940000004671;;4201311420490000000511;;675969079060-000940580
1100111810480000637484;1100111810480000637484;210013004097-000004388;;4201311420600000000001;;6759691790090000261961
110011181078-003842587;110011181078-003842587;2100130050000000044888;;420131179077-000002381;;6759691790600000000467
110011182023-000000003;110011182023-000000003;2100130050040000000085;;420131179078-000003474;;675989079060-000152261
1100111820290000032382;1100111820290000032382;2100130050270000002429;;420131179097-000000969;;675989179009-000012510
1100111820400000001650;1100111820400000001650;2100130050290000000520;;4201314010400000000005;;675989179081-000193566
1100111820480000016103;1100111820480000016103;2100130050400000000002;;4201314020400000000006;;6759990790000000196397
1100111820490000002977;1100111820490000002977;210013005079-000000044;;4201314110400000000002;;6759990790010000014176
1100111820520000000709;1100111820520000000709;210013099900-000000294;;420133105000-000007946;;675999079002-000000042
110011182072-000041989;110011182072-000041989;2100130999270000000294;;4201331050290000002747;;6759990790040000000227
110011182079-000028493;110011182079-000028493;2100130999470000000020;;4201331050400000000240;;675999079006-000000023
1100111830470000092043;1100111830470000092043;2100131040000000008960;;4201331050490000005428;;6759990790090002622925
110011183077-000343924;110011183077-000343924;2100131040230000000136;;4201331050940000002279;;675999079060-001928466
1100111840460000005569;1100111840460000005569;2100131040270000000043;;4201331999000000000048;;6759991790000000045199
110011184076-000161569;110011184076-000161569;2100131040290000000002;;4302110110400000000176;;6759991790090001331957
1100112010070000000062;1100112010070000000062;2100131040400000001638;;430211011079-000007406;;675999179060-000029856
1100112010100000282765;1100112010100000282765;2100131040450000038949;;4302110110940000078608;;675999179081-004299353
1100112010220000001299;1100112010220000001299;2100131040490000004921;;4302111010100000519063;;6759991999000000008790
1100112010290000000536;1100112010290000000536;2100131040910000000007;;430211101040-000192581;;6759991999600000032666
1100112010400000004940;1100112010400000004940;2100131040920000000015;;4302111010910000117765;;675999199981-000026510
1100112010450000000022;1100112010450000000022;210013105000-000031718;;4302111110400000013777;;675999279081-000026457
1100112010480000000509;1100112010480000000509;2100131050230000000528;;440311001003-000021901;;
1100112010490000005963;1100112010490000005963;2100131050270000002284;;4403110010510000018025;;
110011201072-000000099;110011201072-000000099;2100131050290000000176;;440311005040-000007116;;
110011201079-000000113;110011201079-000000113;2100131050400000001459;;4403110050510000147015;;
1100112010910000000049;1100112010910000000049;2100131050450000001522;;440311101003-000000459;;
1100112010940000001601;1100112010940000001601;2100131050490000000378;;4403111010100000274937;;
110011201097-000000004;110011201097-000000004;2100131050600000000128;;440311101040-000275000;;
1100112020220000000014;1100112020220000000014;2100131050910000000380;;4403111010510000772155;;
1100112020290000001708;1100112020290000001708;2100131050940000002854;;440311101079-000000669;;
1100112020400000001333;1100112020400000001333;210013199900-000004009;;4403111050510001475305;;
1100112020480000000840;1100112020480000000840;2100131999270000000097;;4403111110400000000001;;
1100112020490000002351;1100112020490000002351;2100131999290000000008;;4403111110490000000001;;
110011202079-000000058;110011202079-000000058;2100131999400000000110;;440311179003-000152126;;
1100112020940000000041;1100112020940000000041;2100131999450000002571;;440311179040-000004583;;
1100112030400000000840;1100112030400000000840;2100131999490000001031;;440312005076-000138365;;
1100112110220000006846;1100112110220000006846;2100131999600000000038;;440312105076-000764778;;
1100112110230000000004;1100112110230000000004;210013204000-000003502;;440312105086-000708016;;
1100112110290000004710;1100112110290000004710;2100132040400000000003;;4605111110400000000051;;
1100112110400000000742;1100112110400000000742;2100132040450000001742;;4605111110490000000100;;
1100112110450000000007;1100112110450000000007;2100132040490000000551;;4605111710400000050138;;
1100112110480000001420;1100112110480000001420;2100132050000000002376;;460511179002-000000049;;
1100112110490000014160;1100112110490000014160;2100132050270000000764;;4605111790070000000084;;
1100112110520000000255;1100112110520000000255;2100132050290000000880;;460511179040-000000034;;
110011211072-000000930;110011211072-000000930;2100132050400000000611;;460511179079-000000151;;
110011211079-000000407;110011211079-000000407;2100132050450000002326;;4605131030000000003222;;
1100112110940000004794;1100112110940000004794;2100132050490000000335;;460513103040-000003322;;
110011211097-000000003;110011211097-000000003;2103011410400000001764;;4605131030490000000101;;
1100112120290000000955;1100112120290000000955;210301150371-000001759;;460521003006-000025125;;
1100112120400000001845;1100112120400000001845;210301173094-000000005;;4605210030290000000047;;
110011212078-000001748;110011212078-000001748;2604010010070000000232;;4605210030400000016288;;
1100112120920000000707;1100112120920000000707;2604010010100000016677;;4605210030490000000687;;
1100112140290000002105;1100112140290000002105;2604010010400000000026;;4605210030940000000007;;
1100112140400000000090;1100112140400000000090;2604010010490000000044;;460521003097-000002175;;
1100112140480000000012;1100112140480000000012;260401001079-000000020;;4605210110290000000264;;
1100112140490000000004;1100112140490000000004;260401001091-000000862;;4605210110400000005296;;
1100112150400000004009;1100112150400000004009;2604010020220000000002;;460521011097-000001397;;
1100112150480000001098;1100112150480000001098;2604010020400000000597;;4605210320010000000030;;
1100112150490000000103;1100112150490000000103;2604010020490000000238;;4605211030060000013727;;
1100112150940000002048;1100112150940000002048;2604010020940000000004;;4605211030290000000005;;
110011215097-000000004;110011215097-000000004;2604010110220000000069;;4605211030400000010348;;
110011231000-000000260;110011231000-000000260;2604010110290000000017;;4605211030490000000020;;
1100112310010000003174;1100112310010000003174;2604010110400000000069;;4605211030520000020778;;
110011231008-000000406;110011231008-000000406;2604010110490000000064;;460521103097-000044577;;
1100112310270000000744;1100112310270000000744;2604010110940000000063;;4709910730080000088581;;
1100112310290000005660;1100112310290000005660;2604010310290000000227;;470991073097-001248874;;
1100112310400000002180;1100112310400000002180;2604010320010000000040;;4709911730090000230743;;
1100112310450000000002;1100112310450000000002;2604010320040000000024;;470991173094-000707787;;
1100112310480000000021;1100112310480000000021;2604010320400000000051;;470991173097-001103044;;
1100112310490000000301;1100112310490000000301;2604010320490000000171;;4709930999000000042288;;
110011231072-000000003;110011231072-000000003;2604010790490000000019;;470993099992-000001969;;
110011231079-000001771;110011231079-000001771;2604011010030000001039;;470993099994-000040318;;
1100112310920000000010;1100112310920000000010;260401101007-000000866;;470993199909-000009007;;
1100112320230000003187;1100112320230000003187;2604011010100000118625;;4709931999970000006521;;
1100112320290000002225;1100112320290000002225;2604011010220000000041;;;;
1100112320400000000107;1100112320400000000107;2604011010290000000061;;;;
1100112320450000004482;1100112320450000004482;2604011010400000021450;;;;
1100112320490000004843;1100112320490000004843;2604011010490000000707;;;;
110011232079-000000085;110011232079-000000085;260401101072-000000047;;;;
1100112320940000000235;1100112320940000000235;260401101079-000000001;;;;
1100112410010000003734;1100112410010000003734;2604011010910000005254;;;;
110011241008-000000294;110011241008-000000294;2604011010940000000173;;;;
1100112410230000000665;1100112410230000000665;260401101097-000000840;;;;
1100112410290000000714;1100112410290000000714;260401101610-000000050;;;;
1100112410400000004543;1100112410400000004543;2604011020220000000018;;;;
1100112410450000003027;1100112410450000003027;2604011020290000000011;;;;
1100112410480000003000;1100112410480000003000;260401102040-000000442;;;;
1100112410490000017124;1100112410490000017124;2604011020490000001510;;;;
110011241071-000002248;110011241071-000002248;2604011020940000000368;;;;
110011241072-000000118;110011241072-000000118;260401102097-000000254;;;;
110011241078-000004230;110011241078-000004230;2604011030400000000010;;;;
110011241079-000000274;110011241079-000000274;2604011110220000000205;;;;
1100112410940000000949;1100112410940000000949;2604011110290000000377;;;;
110011241097-000000559;110011241097-000000559;2604011110400000001016;;;;
1100112420230000003580;1100112420230000003580;2604011110490000001771;;;;
1100112420400000000101;1100112420400000000101;260401111072-000000050;;;;
110011242048-000000002;110011242048-000000002;260401111079-000000103;;;;
1100112420490000000722;1100112420490000000722;2604011110920000000023;;;;
110011242072-000001631;110011242072-000001631;2604011110940000000289;;;;
110011242078-000000613;110011242078-000000613;260401111097-000000161;;;;
110011242079-000000042;110011242079-000000042;2604011310010000000028;;;;
1100112420940000000125;1100112420940000000125;2604011310290000001225;;;;
110011242097-000000125;110011242097-000000125;2604011310400000000029;;;;
1100112710400000000030;1100112710400000000030;2604011310490000000889;;;;
1100112730940000000333;1100112730940000000333;260401131072-000000022;;;;
110011273097-000000365;110011273097-000000365;2604011310940000000011;;;;
1100112790010000000105;1100112790010000000105;2604011320010000000749;;;;
110011279029-000001291;110011279029-000001291;260401132023-000000041;;;;
1100112790400000007771;1100112790400000007771;2604011320290000000315;;;;
1100112790450000000516;1100112790450000000516;2604011320400000000957;;;;
1100112790460000008529;1100112790460000008529;2604011320450000000010;;;;
1100112790490000000998;1100112790490000000998;2604011320490000001989;;;;
110011279072-000015987;110011279072-000015987;2604011320600000000019;;;;
110011279077-000000083;110011279077-000000083;2604011320940000000029;;;;
110011279078-000011562;110011279078-000011562;2604011410010000000130;;;;
110011279079-000014050;110011279079-000014050;2604011410290000000011;;;;
1100112790940000001379;1100112790940000001379;260401141040-000000214;;;;
110011279097-000010072;110011279097-000010072;2604011410450000000332;;;;
1100112810480000000013;1100112810480000000013;2604011410490000002522;;;;
110011281078-000182400;110011281078-000182400;2604011410600000000027;;;;
1100112820400000000301;1100112820400000000301;260401141071-000000204;;;;
1100112820480000060806;1100112820480000060806;260401141094-000000021;;;;
110011282072-000000408;110011282072-000000408;2604011420230000000278;;;;
110011282079-000000526;110011282079-000000526;260401142040-000000077;;;;
1100112820940000000068;1100112820940000000068;2604011420490000000019;;;;
110011283077-000002365;110011283077-000002365;2604011710400000000001;;;;
1100113010290000000005;1100113010290000000005;2604011790220000000001;;;;
1100113010400000001045;1100113010400000001045;2604011790290000000048;;;;
1100113010470000000223;1100113010470000000223;2604011790400000000609;;;;
1100113010480000002944;1100113010480000002944;2604011790490000000524;;;;
1100113010490000000189;1100113010490000000189;260401179072-000000001;;;;
1100113020400000001435;1100113020400000001435;260401179076-000000004;;;;
1100113020470000000003;1100113020470000000003;2604011790770000000317;;;;
1100113020480000000503;1100113020480000000503;260401179097-000000035;;;;
1100113020490000000016;1100113020490000000016;260401183077-000031963;;;;
1100113020940000000002;1100113020940000000002;260401184076-000000207;;;;
1100113110400000000393;1100113110400000000393;2604012010070000000037;;;;
1100113110470000119539;1100113110470000119539;2604012010100000003821;;;;
1100113110480000001129;1100113110480000001129;2604012010290000000085;;;;
1100113110490000000016;1100113110490000000016;2604012010400000004240;;;;
1100113120400000005368;1100113120400000005368;2604012010490000000200;;;;
1100113120480000092931;1100113120480000092931;260401201072-000000047;;;;
1100113120490000000014;1100113120490000000014;2604012020290000000003;;;;
1100113140400000000003;1100113140400000000003;260401202040-000000384;;;;
1100113140480000000933;1100113140480000000933;2604012020490000000312;;;;
1100113140490000000009;1100113140490000000009;2604012020940000000125;;;;
1100113150290000000009;1100113150290000000009;2604012110220000000393;;;;
1100113150400000000829;1100113150400000000829;2604012110290000000343;;;;
1100113150480000027019;1100113150480000027019;260401211040-000000521;;;;
1100113150490000000335;1100113150490000000335;2604012110490000000196;;;;
1100113150940000000004;1100113150940000000004;2604012110520000000001;;;;
1100113320230000000041;1100113320230000000041;260401211072-000000149;;;;
1100113320290000000026;1100113320290000000026;2604012110920000000006;;;;
1100113320400000000004;1100113320400000000004;2604012110940000000001;;;;
1100113320480000000011;1100113320480000000011;260401211097-000000168;;;;
1100113320490000000006;1100113320490000000006;2604012310290000000652;;;;
1100113320520000000001;1100113320520000000001;2604012310920000000043;;;;
1100113410400000000044;1100113410400000000044;2604012320010000000088;;;;
110011373094-000481220;110011373094-000481220;2604012320230000000028;;;;
1100113730970000133613;1100113730970000133613;2604012320290000000727;;;;
1100113790400000004273;1100113790400000004273;260401232040-000001699;;;;
1100113790470000000007;1100113790470000000007;2604012320450000000008;;;;
110011379048-000048049;110011379048-000048049;2604012320490000000264;;;;
1100113790490000001393;1100113790490000001393;2604012320600000000001;;;;
1100113810480004265170;1100113810480004265170;2604012410010000000112;;;;
110011381078-000705514;110011381078-000705514;2604012410290000000078;;;;
1100113820480000000079;1100113820480000000079;260401241040-000002007;;;;
1100113830470000150918;1100113830470000150918;2604012410450000000119;;;;
110011383077-000106751;110011383077-000106751;2604012410490000002005;;;;
1100113840460000000121;1100113840460000000121;2604012410600000000022;;;;
110011384076-000001259;110011384076-000001259;260401241094-000000046;;;;
1100114010220000000001;1100114010220000000001;2604012420230000000527;;;;
1100114010290000000043;1100114010290000000043;260401242040-000000621;;;;
1100114010400000054131;1100114010400000054131;2604012420490000000124;;;;
1100114010490000152989;1100114010490000152989;260401381078-000000104;;;;
1100114020400000002966;1100114020400000002966;260401383077-000004052;;;;
1100114030400000000003;1100114030400000000003;2604014010400000000004;;;;
1100114110290000000276;1100114110290000000276;260501101040-000000062;;;;
1100114110400002538587;1100114110400002538587;2605011010490000000013;;;;
1100114110470000000205;1100114110470000000205;2605011010520000000089;;;;
1100114110480000001523;1100114110480000001523;260501103040-000007644;;;;
1100114110490000004005;1100114110490000004005;2605011030490000000574;;;;
110011411072-000000006;110011411072-000000006;2605011030520000007030;;;;
110011411079-000000442;110011411079-000000442;2605011320400000000021;;;;
1100114110940000001606;1100114110940000001606;2605011320490000000003;;;;
110011411097-000000748;110011411097-000000748;260501141040-000000029;;;;
1100114120920000000057;1100114120920000000057;2605011410490000000006;;;;
1100114140290000001124;1100114140290000001124;2605011790400000002751;;;;
1100114140400000000032;1100114140400000000032;260501183077-000016381;;;;
1100114150400000007204;1100114150400000007204;260501184076-000000115;;;;
1100114150480000000003;1100114150480000000003;2706010730910000015978;;;;
1100114150490000000005;1100114150490000000005;2706010730920000001043;;;;
1100114310290000011983;1100114310290000011983;2706010730940000027745;;;;
1100114320230000000053;1100114320230000000053;2706011730050000006390;;;;
1100114320290000000029;1100114320290000000029;2706011730940000055793;;;;
1100114320400000000088;1100114320400000000088;2706030999920000000075;;;;
1100114320480000002326;1100114320480000002326;2706030999940000001535;;;;
1100114410400000006534;1100114410400000006534;2807010730040000012336;;;;
1100114790400000000650;1100114790400000000650;2807010730940000000000;;;;
1100114820290000006594;1100114820290000006594;2807011730040000004044;;;;
1100114820400001545889;1100114820400001545889;2807011730940000012180;;;;
1100114820490000007602;1100114820490000007602;2807012730040000000167;;;;
1100114830470000140490;1100114830470000140490;290907083185-000315068;;;;
110011483077-000043702;110011483077-000043702;290907083285-000003029;;;;
110012105186-000000136;110012105186-000000136;290907183185-000040596;;;;
1100130010080000612650;1100130010080000612650;290907183285-000009535;;;;
110013001079-000006000;110013001079-000006000;290907383185-000018479;;;;
110013001089-000615118;110013001089-000615118;290917079086-000000822;;;;
110013002026-000001842;110013002026-000001842;290917184086-000001093;;;;
1100130020290000002017;1100130020290000002017;;;;;
1100130020400000000040;1100130020400000000040;;;;;
1100130020490000000267;1100130020490000000267;;;;;
110013002079-000001400;110013002079-000001400;;;;;
110013002094-000000185;110013002094-000000185;;;;;
110013003000-000010075;110013003000-000010075;;;;;
1100130030400000000107;1100130030400000000107;;;;;
1100130030490000000175;1100130030490000000175;;;;;
110013003079-000001500;110013003079-000001500;;;;;
110013004000-000945482;110013004000-000945482;;;;;
1100130040220000000008;1100130040220000000008;;;;;
1100130040290000000026;1100130040290000000026;;;;;
1100130040400000000482;1100130040400000000482;;;;;
1100130040450000765543;1100130040450000765543;;;;;
1100130040490000158447;1100130040490000158447;;;;;
110013004072-000000042;110013004072-000000042;;;;;
110013004079-000000060;110013004079-000000060;;;;;
1100130040920000000006;1100130040920000000006;;;;;
1100130040940000000567;1100130040940000000567;;;;;
1100130050270000008292;1100130050270000008292;;;;;
1100130050290000004748;1100130050290000004748;;;;;
1100130050450000000355;1100130050450000000355;;;;;
1100130050490000000028;1100130050490000000028;;;;;
110013099900-000015498;110013099900-000015498;;;;;
1100130999030000000136;1100130999030000000136;;;;;
1100130999070000000117;1100130999070000000117;;;;;
1100130999100000014832;1100130999100000014832;;;;;
1100130999220000000078;1100130999220000000078;;;;;
1100130999230000012189;1100130999230000012189;;;;;
1100130999290000000065;1100130999290000000065;;;;;
1100130999400000000777;1100130999400000000777;;;;;
1100130999450000004452;1100130999450000004452;;;;;
1100130999490000012763;1100130999490000012763;;;;;
110013099972-000000175;110013099972-000000175;;;;;
110013099979-000000006;110013099979-000000006;;;;;
1100130999940000000726;1100130999940000000726;;;;;
1100131010000001146638;1100131010000001146638;;;;;
1100131010230000000750;1100131010230000000750;;;;;
1100131010270000000394;1100131010270000000394;;;;;
1100131010290000000353;1100131010290000000353;;;;;
1100131010400000000715;1100131010400000000715;;;;;
1100131010450000009315;1100131010450000009315;;;;;
1100131010490000002501;1100131010490000002501;;;;;
110013101076-000077263;110013101076-000077263;;;;;
110013101077-000012500;110013101077-000012500;;;;;
110013101078-000020481;110013101078-000020481;;;;;
110013101079-000263761;110013101079-000263761;;;;;
110013101086-001982805;110013101086-001982805;;;;;
1100131020000000003432;1100131020000000003432;;;;;
1100131020250000001866;1100131020250000001866;;;;;
1100131020260000000300;1100131020260000000300;;;;;
1100131020400000001302;1100131020400000001302;;;;;
1100131020450000001215;1100131020450000001215;;;;;
1100131020490000000067;1100131020490000000067;;;;;
1100131030000000237958;1100131030000000237958;;;;;
1100131030260000001995;1100131030260000001995;;;;;
1100131030400000297019;1100131030400000297019;;;;;
1100131030490000000593;1100131030490000000593;;;;;
110013103079-000838600;110013103079-000838600;;;;;
1100131040000001070846;1100131040000001070846;;;;;
1100131040030000000233;1100131040030000000233;;;;;
1100131040070000001328;1100131040070000001328;;;;;
1100131040100000100019;1100131040100000100019;;;;;
1100131040220000000495;1100131040220000000495;;;;;
1100131040230000002809;1100131040230000002809;;;;;
1100131040270000008954;1100131040270000008954;;;;;
1100131040290000038723;1100131040290000038723;;;;;
1100131040400000005302;1100131040400000005302;;;;;
1100131040450002744436;1100131040450002744436;;;;;
1100131040470000000002;1100131040470000000002;;;;;
1100131040490001180541;1100131040490001180541;;;;;
1100131040520000000006;1100131040520000000006;;;;;
110013104079-000097711;110013104079-000097711;;;;;
110013104086-000107026;110013104086-000107026;;;;;
1100131040910000001362;1100131040910000001362;;;;;
1100131040920000000385;1100131040920000000385;;;;;
1100131040940000069365;1100131040940000069365;;;;;
110013104097-000039510;110013104097-000039510;;;;;
110013105000-000349546;110013105000-000349546;;;;;
110013105007-000000072;110013105007-000000072;;;;;
1100131050100000014135;1100131050100000014135;;;;;
1100131050220000000035;1100131050220000000035;;;;;
1100131050230000000187;1100131050230000000187;;;;;
1100131050270000637260;1100131050270000637260;;;;;
1100131050290000309467;1100131050290000309467;;;;;
1100131050400000355713;1100131050400000355713;;;;;
1100131050450000066946;1100131050450000066946;;;;;
1100131050470000000100;1100131050470000000100;;;;;
1100131050490000137081;1100131050490000137081;;;;;
1100131050520000000002;1100131050520000000002;;;;;
110013105072-000000228;110013105072-000000228;;;;;
110013105076-000009152;110013105076-000009152;;;;;
110013105078-000008944;110013105078-000008944;;;;;
110013105079-000009489;110013105079-000009489;;;;;
110013105086-000000692;110013105086-000000692;;;;;
1100131050910000001521;1100131050910000001521;;;;;
1100131050920000024007;1100131050920000024007;;;;;
1100131050940000002661;1100131050940000002661;;;;;
110013105097-000004095;110013105097-000004095;;;;;
1100131999000000405180;1100131999000000405180;;;;;
110013199901-000422817;110013199901-000422817;;;;;
1100131999080000000340;1100131999080000000340;;;;;
1100131999100000005765;1100131999100000005765;;;;;
1100131999220000000006;1100131999220000000006;;;;;
1100131999270000000134;1100131999270000000134;;;;;
110013199929-000000033;110013199929-000000033;;;;;
110013199940-000008412;110013199940-000008412;;;;;
1100131999450000022639;1100131999450000022639;;;;;
1100131999490000014903;1100131999490000014903;;;;;
110013199979-000000847;110013199979-000000847;;;;;
1100131999910000003371;1100131999910000003371;;;;;
1100131999940000002113;1100131999940000002113;;;;;
110013201076-000001210;110013201076-000001210;;;;;
110013201079-000004956;110013201079-000004956;;;;;
110013203079-000009135;110013203079-000009135;;;;;
1100132040220000000038;1100132040220000000038;;;;;
1100132040290000000001;1100132040290000000001;;;;;
