id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
26;Boliga Scrape;requests;1597855918.6147358;-0.2275681495666504;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=3&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=3&street=;21355;200;True;
27;Boliga Scrape;requests;1597855919.426007;-0.24456191062927246;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=4&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=4&street=;21324;200;True;
28;Boliga Scrape;requests;1597855920.251101;-0.23422884941101074;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=5&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=5&street=;21311;200;True;
29;Boliga Scrape;requests;1597855921.078615;-0.21448612213134766;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=6&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=6&street=;21077;200;True;
30;Boliga Scrape;requests;1597855921.8842309;-0.1561441421508789;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=7&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=7&street=;21225;200;True;
31;Boliga Scrape;requests;1597855922.6223328;-0.21346831321716309;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=8&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=8&street=;21202;200;True;
32;Boliga Scrape;requests;1597855923.4202082;-1.904451847076416;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=9&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=9&street=;21240;200;True;
33;Boliga Scrape;requests;1597855925.9088352;-0.27671074867248535;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=10&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=10&street=;21262;200;True;
34;Boliga Scrape;requests;1597856179.925285;-0.2732670307159424;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=1&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=1&street=;21358;200;True;
35;Boliga Scrape;requests;1597856180.779267;-0.23310589790344238;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=2&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=2&street=;21320;200;True;
36;Boliga Scrape;requests;1597856181.623893;-0.18789887428283691;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=3&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=3&street=;21355;200;True;
37;Boliga Scrape;requests;1597856182.4147441;-0.21460580825805664;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=4&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=4&street=;21324;200;True;
38;Boliga Scrape;requests;1597856183.214735;-0.2333688735961914;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=5&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=5&street=;21311;200;True;
39;Boliga Scrape;requests;1597856184.044322;-0.1516571044921875;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=6&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=6&street=;21077;200;True;
40;Boliga Scrape;requests;1597856184.778571;-0.15686416625976562;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=7&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=7&street=;21225;200;True;
41;Boliga Scrape;requests;1597856185.528152;-0.380112886428833;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=8&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=8&street=;21202;200;True;
42;Boliga Scrape;requests;1597856186.50037;-0.23588085174560547;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=9&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=9&street=;21240;200;True;
43;Boliga Scrape;requests;1597856187.318866;-0.22739291191101074;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=10&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=101&salesDateMin=1992&salesDateMax=today&sort=date-d&page=10&street=;21262;200;True;
44;Boliga Scrape;requests;1597856195.3933508;-0.294309139251709;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=1&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=1&street=;21503;200;True;
45;Boliga Scrape;requests;1597856196.2773702;-0.2803666591644287;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=2&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=2&street=;21420;200;True;
46;Boliga Scrape;requests;1597856197.156381;-0.2189950942993164;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=3&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=3&street=;21489;200;True;
47;Boliga Scrape;requests;1597856197.959784;-0.2543320655822754;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=4&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=4&street=;21545;200;True;
48;Boliga Scrape;requests;1597856198.795952;-0.16472101211547852;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=5&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=5&street=;21570;200;True;
49;Boliga Scrape;requests;1597856199.5698318;-0.24535012245178223;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=6&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=6&street=;21548;200;True;
50;Boliga Scrape;requests;1597856200.4112918;-0.24209308624267578;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=7&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=7&street=;21534;200;True;
51;Boliga Scrape;requests;1597856201.243621;-0.23093485832214355;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=8&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=8&street=;21550;200;True;
52;Boliga Scrape;requests;1597856202.061002;-0.33826303482055664;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=9&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=9&street=;21570;200;True;
53;Boliga Scrape;requests;1597856202.987681;-0.2302711009979248;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=10&street=;https://api.boliga.dk/api/v2/sold/search/results?propertyType=3&municipality=147&salesDateMin=1992&salesDateMax=today&sort=date-d&page=10&street=;21679;200;True;
